,Point Estimate,Bootstrap Mean,2.5th Percentile,25th Percentile,Median,75th Percentile,97.5th Percentile,Standard Error
beta_0_cd,-0.21136415427422847,1.8520488364550858,-3.0686116506980365,-0.4717923847288247,1.0580272272905116,5.0726761568600285,6.927710420629746,1.1507501515525351
beta_k_cd,0.19574309266735626,0.2030455811305732,0.1676453295440194,0.1900183119322854,0.20109701600626756,0.2224172120362263,0.22944903185779134,0.0070494160108131665
beta_l_cd,0.3115305903066583,0.3160347866895906,0.2363296191234945,0.28646947774848197,0.3192069767113409,0.3591035009991335,0.3676033944201529,0.014834254816955866
beta_m_cd,0.4681956864769555,0.4611619831248201,0.43893176739645373,0.45831469201007985,0.4639456814219599,0.47000278222218916,0.4731058817884278,0.003765709285260303
Edf_dm,0.569660785277684,0.558888013440399,0.5464867987238626,0.5543117635464643,0.5582709050888333,0.5643347519540478,0.5721399535800437,0.0027309052775996248
Eomega,3.8396919941227203,1.7518337645573119,-3.425933258077189,-1.639460334092599,2.5583792559317518,3.9360304093210035,6.925862322619944,1.1911191750203012
