,Point Estimate,Bootstrap Mean,2.5th Percentile,25th Percentile,Median,75th Percentile,97.5th Percentile,Standard Error
beta_0,1.6325648741180978e-15,1.7794849021462335e-16,-1.761070490909484e-15,-7.860876338621154e-17,7.715078849953692e-17,5.828593164062697e-16,2.563425250070391e-15,4.2869333747434527e-16
beta_k,0.32356760513799104,0.33768557467981014,0.20154185755220738,0.3128018976486875,0.34072114544500326,0.39030505845579583,0.4287908922946022,0.02413211880754167
beta_l,0.7318906823264155,0.7118158986634798,0.562734785073827,0.6288441519749023,0.6773452735550447,0.7241856789253553,1.0160415734717758,0.046553128497841004
rho,0.8821586747079723,0.8881857863235118,0.8571913500185065,0.8689181108676842,0.8838220017878617,0.8998511242790778,0.9301689676934465,0.008298950587866073
Eomega,5.071470281681422,5.019602604287231,4.40723606287202,4.837093244237737,5.1205128872129,5.275976099013658,5.420872715558974,0.11445660357032164
