,beta_0_cd,beta_k_cd,beta_l_cd,beta_m_cd,Edf_dm,Eomega,gmm_error
0,-2.38722414356709,0.16443795034256994,0.34453792036381603,0.4631017555171794,0.55577674593418,6.267763292603124,4.826200748990287e-22
1,0.36607807586112073,0.19536888408147204,0.3178238434068904,0.4711751804432732,0.573700663069635,3.1998684516519766,7.627739657050253e-27
2,1.7499763787199023,0.19606834719996188,0.36791298688410734,0.4441992465456484,0.5461667409072609,1.916890060211527,3.5198382920373567e-25
3,0.03264342111421959,0.17869296901567863,0.32059011001579146,0.47121780960559995,0.5667641764492294,3.7043206296737035,3.530018769568868e-28
4,7.200257058517751,0.22048497859193528,0.28406932263083934,0.46276178580604077,0.5644108330631117,-3.6570225252134927,3.30576591072409e-25
5,5.407257118954359,0.2298242272072594,0.27661381944393054,0.4736540317769907,0.5538234360838924,-2.0720639274321067,4.591148594668747e-25
6,-0.6399376533431728,0.2281566923207347,0.29366994310140976,0.46478960732674046,0.5641065086268562,4.01326700253677,4.632941477325409e-27
7,5.988938667904396,0.20612568481257323,0.3665370203776431,0.4568323274114262,0.5564767360507293,-2.6299591157188096,3.5554647438562825e-24
8,-3.2664338301876663,0.18823478788255651,0.36395869454423935,0.43740249925636493,0.5475892200921573,7.116923331334504,1.356301905383889e-23
9,4.068933270577038,0.22306128985098997,0.2246342061272389,0.46648558755893693,0.5600650741269371,-0.3416495540740761,8.946712845768505e-28
